RX Date/Time,A0(field 1),A1(field 2),A2(field 3),A3(field 4)
2023/07/10/ 11:24:33::556,47855,117,0.30,0.29,0.31,0.36,0.94,1.82
2023/07/10/ 11:24:33::964,48266,118,0.30,0.29,0.31,0.35,0.97,1.34
2023/07/10/ 11:24:34::360,48675,119,0.30,0.29,0.31,0.35,1.08,1.23
2023/07/10/ 11:24:34::772,49086,120,0.30,0.29,0.31,0.36,0.92,1.83
2023/07/10/ 11:24:35::208,49496,121,0.30,0.29,0.31,0.35,1.00,1.29
2023/07/10/ 11:24:35::623,49905,122,0.30,0.29,0.31,0.35,1.08,1.32
2023/07/10/ 11:24:36::011,50316,123,0.30,0.29,0.31,0.36,0.87,1.78
2023/07/10/ 11:24:36::443,50725,124,0.30,0.29,0.32,0.35,1.03,1.22
2023/07/10/ 11:24:36::865,51135,125,0.30,0.29,0.31,0.35,1.05,1.50
2023/07/10/ 11:24:37::279,51546,126,0.30,0.29,0.31,0.36,0.88,1.64
2023/07/10/ 11:24:37::691,51955,127,0.30,0.29,0.31,0.35,1.08,1.21
2023/07/10/ 11:24:38::105,52365,128,0.30,0.29,0.31,0.35,0.99,1.73
2023/07/10/ 11:24:38::518,52775,129,0.30,0.29,0.31,0.36,0.92,1.47
2023/07/10/ 11:24:38::932,53185,130,0.30,0.29,0.31,0.35,1.09,1.22
2023/07/10/ 11:24:39::345,53595,131,0.30,0.29,0.31,0.36,0.94,1.81
2023/07/10/ 11:24:39::756,54005,132,0.30,0.29,0.31,0.35,0.97,1.34
2023/07/10/ 11:24:40::171,54415,133,0.30,0.29,0.31,0.35,1.08,1.23
2023/07/10/ 11:24:40::583,54824,134,0.30,0.29,0.31,0.36,0.92,1.84
2023/07/10/ 11:24:40::996,55235,135,0.31,0.29,0.31,0.35,1.00,1.29
2023/07/10/ 11:24:41::410,55645,136,0.30,0.29,0.31,0.36,1.08,1.32
2023/07/10/ 11:24:41::819,56054,137,0.30,0.29,0.31,0.35,0.88,1.78
2023/07/10/ 11:24:42::236,56465,138,0.30,0.29,0.31,0.35,1.04,1.22
2023/07/10/ 11:24:42::649,56875,139,0.30,0.29,0.31,0.35,1.05,1.51
2023/07/10/ 11:24:43::061,57284,140,0.30,0.29,0.31,0.36,0.88,1.64
