RX Date/Time,Voltage(field 1)
2023/07/18/ 10:23:37::055,49699,2.96
2023/07/18/ 10:23:37::080,49725,2.99
2023/07/18/ 10:23:37::120,49751,2.87
2023/07/18/ 10:23:37::128,49776,3.01
2023/07/18/ 10:23:37::157,49802,2.31
2023/07/18/ 10:23:37::181,49827,2.66
2023/07/18/ 10:23:37::223,49853,3.18
2023/07/18/ 10:23:37::230,49879,2.59
2023/07/18/ 10:23:37::257,49904,2.61
2023/07/18/ 10:23:37::284,49930,2.69
2023/07/18/ 10:23:37::306,49955,2.82
2023/07/18/ 10:23:37::338,49982,2.09
2023/07/18/ 10:23:37::361,50008,2.75
2023/07/18/ 10:23:37::384,50033,3.16
2023/07/18/ 10:23:37::411,50059,2.92
2023/07/18/ 10:23:37::441,50084,2.33
2023/07/18/ 10:23:37::465,50110,2.46
2023/07/18/ 10:23:37::488,50136,2.85
2023/07/18/ 10:23:37::513,50161,2.92
2023/07/18/ 10:23:37::554,50187,2.66
2023/07/18/ 10:23:37::565,50212,2.53
2023/07/18/ 10:23:37::592,50238,3.06
2023/07/18/ 10:23:37::615,50264,2.72
2023/07/18/ 10:23:37::642,50289,2.55
2023/07/18/ 10:23:37::668,50316,2.44
2023/07/18/ 10:23:37::693,50341,2.11
2023/07/18/ 10:23:37::716,50367,2.73
2023/07/18/ 10:23:37::745,50393,2.57
2023/07/18/ 10:23:37::772,50418,3.02
2023/07/18/ 10:23:37::794,50444,2.49
2023/07/18/ 10:23:37::823,50469,2.56
2023/07/18/ 10:23:37::852,50495,2.67
2023/07/18/ 10:23:37::877,50521,2.56
2023/07/18/ 10:23:37::899,50546,2.69
2023/07/18/ 10:23:37::927,50572,2.65
2023/07/18/ 10:23:37::950,50597,2.65
2023/07/18/ 10:23:37::999,50624,2.76
2023/07/18/ 10:23:38::004,50650,2.48
2023/07/18/ 10:23:38::028,50675,2.57
2023/07/18/ 10:23:38::052,50701,2.86
2023/07/18/ 10:23:38::103,50726,2.61
2023/07/18/ 10:23:38::103,50752,2.47
2023/07/18/ 10:23:38::129,50778,2.38
2023/07/18/ 10:23:38::154,50803,2.57
2023/07/18/ 10:23:38::182,50829,3.00
2023/07/18/ 10:23:38::211,50854,2.64
2023/07/18/ 10:23:38::236,50880,2.65
2023/07/18/ 10:23:38::257,50906,2.49
2023/07/18/ 10:23:38::284,50931,2.77
2023/07/18/ 10:23:38::314,50958,2.77
2023/07/18/ 10:23:38::336,50983,2.71
2023/07/18/ 10:23:38::361,51009,2.57
2023/07/18/ 10:23:38::385,51035,2.66
2023/07/18/ 10:23:38::437,51060,2.47
2023/07/18/ 10:23:38::442,51086,2.60
2023/07/18/ 10:23:38::462,51111,2.81
2023/07/18/ 10:23:38::487,51137,2.51
2023/07/18/ 10:23:38::517,51163,2.57
2023/07/18/ 10:23:38::541,51188,2.90
2023/07/18/ 10:23:38::565,51214,2.85
2023/07/18/ 10:23:38::589,51239,2.76
